ticker,event_date,v,vol_z,tone,tone_z,direction
DABUR,2025-02-21,17.0,5.044645366143882,0.5359,0.2916466085814476,1.0
DABUR,2025-04-03,15.0,4.210090187342878,1.8562,0.8377635820637953,1.0
DABUR,2025-05-07,22.0,7.243644252306858,1.4395,0.5445672958447073,1.0
DABUR,2025-07-03,14.0,3.0961791345318477,-4.3961,-2.167300819575736,-1.0
DABUR,2025-07-07,17.0,3.604488249921651,0.8169,0.14954164048144217,1.0
DABUR,2025-08-29,15.0,3.0166260551066006,-0.4225,-0.4777223766476896,-1.0
DABUR,2025-11-06,15.0,3.6205406878745396,-3.6461,-2.5627722917302886,-1.0
MARICO,2024-08-06,6.0,9.502442728889168,1.3113,1.8899037632994196,1.0
NATIONALUM,2023-12-29,7.0,6.99948625251048,1.3502,0.819279567262459,1.0
NATIONALUM,2024-04-03,10.0,7.0434911134640386,0.1031,-0.04715080306360369,-1.0
NATIONALUM,2024-05-28,13.0,8.004262484975161,0.634,0.3353676448395635,1.0
NATIONALUM,2024-09-24,15.0,13.399922842233353,0.8938,0.30983411277842443,1.0
NATIONALUM,2024-11-18,13.0,5.825359366956507,0.5602,0.06952229914551396,1.0
NATIONALUM,2025-05-22,8.0,7.543509784472363,0.4452,0.27445881590711046,1.0
NATIONALUM,2025-08-28,8.0,5.535259615251719,0.8536,0.3125896254105771,1.0
NATIONALUM,2025-09-06,13.0,7.356244426110049,2.0737,0.9126995328506992,1.0
NATIONALUM,2025-12-10,5.0,3.2306615816951476,-0.931,-0.5011766385286359,-1.0
NATIONALUM,2025-12-31,9.0,6.2582443907220116,1.2294,0.29843575592768656,1.0
NMDC,2023-05-30,5.0,3.339382210728786,-1.09,-1.9390416170475782,-1.0
NMDC,2023-06-18,5.0,3.8846077109132002,0.7459,0.7269626426555502,1.0
NMDC,2023-10-02,5.0,5.281177420644043,0.6633,0.30950206353418797,1.0
NMDC,2024-01-20,5.0,4.5731073227566545,-1.9186,-2.1909828543349623,-1.0
NMDC,2024-04-13,8.0,7.409067627185989,-2.618,-2.4401860724455933,-1.0
NMDC,2024-08-14,5.0,4.510956361440223,-1.1864,-1.6758000048584445,-1.0
NMDC,2024-09-24,5.0,3.8235782220279457,0.3736,-0.11322855368430192,-1.0
NMDC,2025-07-08,7.0,8.350289703327432,-4.1446,-4.184009122706358,-1.0
NHPC,2023-06-13,5.0,6.559234811341512,-0.8958,-0.7426299731059739,-1.0
NHPC,2023-10-04,5.0,7.633917096104567,-3.1754,-3.0725185125868757,-1.0
NHPC,2024-03-04,7.0,8.281327350632887,0.5698,0.43979713989807656,1.0
NHPC,2025-05-05,10.0,17.234263583624397,-2.5299,-3.1755230686250817,-1.0
NHPC,2025-07-11,5.0,3.6985053453968306,2.2717,1.8892746508269298,1.0
NHPC,2025-12-27,7.0,9.650307675325086,-0.5473,-0.4374106093634168,-1.0
OIL,2023-04-07,5.0,3.6389323408166443,0.3305,0.3895317841097785,1.0
OIL,2023-05-29,5.0,3.4166815387342395,-1.0523,-0.8372140662997639,-1.0
OIL,2023-06-27,5.0,4.203781504096206,0.7167,0.73492350113202,1.0
OIL,2023-10-01,8.0,10.561958265305305,-1.739,-1.7144737284536904,-1.0
OIL,2023-11-21,5.0,4.163355270008253,-0.9269,-0.8661778007957852,-1.0
OIL,2023-11-30,5.0,3.406715408798218,0.9089,0.8395804041503109,1.0
OIL,2024-05-26,7.0,12.328243435451038,-1.4954,-1.582817128930003,-1.0
OIL,2025-09-14,5.0,7.337540880488464,1.6659,1.1080983739867587,1.0
OIL,2025-09-19,5.0,6.158262154348559,0.3797,-0.043073802730689004,-1.0
OIL,2025-09-21,5.0,5.109447366354893,1.435,0.8437111464264219,1.0
OIL,2025-09-27,5.0,4.378124994520965,2.5246,1.6965279476533073,1.0
