ticker,event_date,v,vol_z,tone,tone_z,direction,novelty_days,intensity_percentile
FEDERALBNK,2025-02-05,10.0,3.2149844401167167,1.4704,0.1324065788888563,1.0,8.0,14.462809917355372
FEDERALBNK,2025-02-19,11.0,3.1138132366600604,1.6987,0.3361604819742838,1.0,14.0,7.024793388429752
FEDERALBNK,2025-06-03,15.0,4.328787985603027,1.4418,0.2768276717335474,1.0,104.0,43.80165289256198
FEDERALBNK,2025-08-04,19.0,5.341965806131771,0.853,0.0422616075284185,1.0,62.0,62.8099173553719
FEDERALBNK,2025-08-22,15.0,3.881626718426829,-0.6871,-0.723418573946675,-1.0,18.0,30.16528925619835
FEDERALBNK,2025-10-20,16.0,3.1686917468232867,2.016,0.5101006873996633,1.0,59.0,10.330578512396695
FEDERALBNK,2025-10-24,17.0,3.2144251967581905,1.986,0.4791987751976372,1.0,4.0,14.049586776859504
FEDERALBNK,2025-11-25,16.0,3.157787303381547,-1.562,-1.196708357371574,-1.0,32.0,9.917355371900827
FEDERALBNK,2026-01-16,18.0,3.557340010722145,2.2126,0.7056844602851122,1.0,52.0,21.90082644628099
FEDERALBNK,2026-01-20,21.0,4.265032659439456,1.5584,0.3382789750171705,1.0,4.0,42.561983471074385
FEDERALBNK,2026-04-29,14.0,4.36916930198041,-0.1419,0.0861995976715013,1.0,99.0,44.62809917355372
FEDERALBNK,2026-07-17,16.0,4.324061214345848,0.2970111111111111,0.0641310987570994,1.0,79.0,43.388429752066116
GODREJPROP,2023-09-25,5.0,13.038143654836729,2.0664,2.189562519796636,1.0,,96.2809917355372
GODREJPROP,2023-09-29,5.0,7.428380156396088,1.7885,1.606467841020756,1.0,4.0,82.64462809917356
GODREJPROP,2024-07-02,5.0,4.690066589323329,3.1065,1.762189995371891,1.0,277.0,51.239669421487605
GODREJPROP,2024-07-31,5.0,4.6900665893233295,1.8155,0.7369126992801988,1.0,29.0,51.65289256198347
GODREJPROP,2024-08-09,5.0,4.1956077988685845,2.2803,1.1373413067496534,1.0,9.0,41.32231404958678
GODREJPROP,2024-10-01,5.0,3.773713213577683,0.792,-0.0684726817201406,-1.0,53.0,27.685950413223143
GODREJPROP,2025-08-25,5.0,6.72321075502554,1.949,1.4666283971495595,1.0,328.0,75.6198347107438
HAVELLS,2023-05-03,15.0,6.0571299962152585,0.8024,-0.3893496117475646,-1.0,,71.07438016528926
HAVELLS,2023-07-18,9.0,3.8848056155442703,0.9409,0.1286847354609845,1.0,76.0,30.991735537190085
HAVELLS,2023-07-20,8.0,3.0244331013872614,0.9728,0.1568938266401787,1.0,2.0,2.066115702479339
HAVELLS,2023-11-05,7.0,4.214676560989291,0.3698,-0.5783277444328776,-1.0,108.0,42.561983471074385
HAVELLS,2023-11-29,7.0,3.17265438289232,4.4229,1.143305879866922,1.0,24.0,10.743801652892563
HAVELLS,2024-01-30,7.0,3.130494506561133,4.6299,1.3412022884790509,1.0,62.0,8.677685950413224
HAVELLS,2024-02-28,8.0,4.3820495037225005,0.7337,-0.3199196698816734,-1.0,29.0,45.867768595041326
HAVELLS,2024-04-30,11.0,5.005977385943258,2.0282,0.0016142812148293,1.0,62.0,55.78512396694215
HAVELLS,2024-05-02,8.0,3.033226195038111,1.2274,-0.3331603167654177,-1.0,2.0,2.8925619834710745
HAVELLS,2024-06-14,12.0,4.937565674626382,2.7993,0.2925576702102913,1.0,43.0,54.13223140495868
HAVELLS,2024-06-18,10.0,3.4363819607312864,3.1795,0.413577437994134,1.0,4.0,21.487603305785125
HAVELLS,2024-09-20,8.0,3.3599496640524915,3.7981,1.0168183202718062,1.0,94.0,19.00826446280992
HAVELLS,2024-10-17,11.0,5.700993751376027,1.0893,-0.3544615520221831,-1.0,27.0,66.94214876033058
HAVELLS,2025-01-16,13.0,7.927009855926544,2.6185,0.0679097129193083,1.0,91.0,85.53719008264463
HAVELLS,2025-02-27,21.0,10.371719695616752,-0.6186,-0.8413324378276378,-1.0,42.0,92.56198347107438
HAVELLS,2025-03-20,13.0,4.064366984986002,-0.2194,-0.6017964720957579,-1.0,21.0,35.53719008264463
HAVELLS,2025-04-04,12.0,3.325876811704,8.7738,2.9650895591293507,1.0,15.0,18.181818181818183
HAVELLS,2025-04-22,12.0,3.3748297759139283,-0.2146,-0.6581328210585019,-1.0,18.0,19.421487603305785
HAVELLS,2025-07-21,12.0,4.971279857846116,0.8915,-0.1224571502163357,-1.0,90.0,54.95867768595041
HAVELLS,2025-08-18,16.0,7.255571917892978,0.8853,-0.0132147619566405,-1.0,28.0,80.16528925619835
